,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
0,005930,삼성전자,KOSPI,전기전자,88800,5900,7.12,530116690440000,3166.0,28.05,37528.0,2.37,1416,1.59
1,000660,SK하이닉스,KOSPI,전기전자,138000,3500,2.6,100464326370000,2943.0,46.89,65836.0,2.1,1000,0.72
2,051910,LG화학,KOSPI,화학,999000,37000,3.85,70521750657000,4085.0,244.55,217230.0,4.6,2000,0.2
3,207940,삼성바이오로직스,KOSPI,의약품,837000,18000,2.2,55380105000000,3067.0,272.91,65812.0,12.72,0,0.0
4,005380,현대차,KOSPI,운수장비,246000,40000,19.42,52562374002000,11310.0,21.75,253001.0,0.97,4000,1.63
5,035420,NAVER,KOSPI,서비스업,312000,22500,7.77,51250179240000,4006.0,77.88,35223.0,8.86,376,0.12
6,006400,삼성SDI,KOSPI,전기전자,739000,41000,5.87,50816987670000,5331.0,138.62,175114.0,4.22,1000,0.14
7,068270,셀트리온,KOSPI,의약품,367000,9500,2.66,49544194435000,2196.0,167.12,20421.0,17.97,0,0.0
8,035720,카카오,KOSPI,서비스업,434000,31500,7.83,38391599204000,,,60603.0,7.16,127,0.03
9,012330,현대모비스,KOSPI,운수장비,359500,55000,18.06,34172162493000,24234.0,14.83,339207.0,1.06,4000,1.11
10,028260,삼성물산,KOSPI,유통업,151000,6000,4.14,28219949231000,6366.0,23.72,125948.0,1.2,2000,1.32
11,000270,기아차,KOSPI,운수장비,68300,5300,8.41,27686316600100,4556.0,14.99,71487.0,0.96,1150,1.68
12,096770,SK이노베이션,KOSPI,화학,283000,20000,7.6,26167754612000,,,186398.0,1.52,3000,1.06
13,005490,POSCO,KOSPI,철강금속,294500,3500,1.2,25676522907500,22823.0,12.9,510076.0,0.58,10000,3.4
14,051900,LG생활건강,KOSPI,화학,1638000,29000,1.8,25582606686000,46431.0,35.28,234042.0,7.0,11000,0.67
15,066570,LG전자,KOSPI,전기전자,147500,-2500,-1.67,24138052565000,169.0,872.78,79245.0,1.86,750,0.51
16,036570,엔씨소프트,KOSPI,서비스업,995000,48000,5.07,21844251890000,17387.0,57.23,113836.0,8.74,5220,0.52
17,017670,SK텔레콤,KOSPI,통신업,265000,-5000,-1.85,21397613415000,12144.0,21.82,284310.0,0.93,10000,3.77
18,034730,SK,KOSPI,기타금융,292500,-3500,-1.18,20580386872500,12917.0,22.64,235255.0,1.24,5000,1.71
19,105560,KB금융,KOSPI,기타금융,46500,500,1.09,19335068280000,8451.0,5.5,92672.0,0.5,2210,4.75
