,종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
0,060310,3S,2245,-45,-1.97,,,745.0,3.01,0,0.0
1,095570,AJ네트웍스,4540,-155,-3.3,982.0,4.62,6802.0,0.67,300,6.61
2,006840,AK홀딩스,25350,150,0.6,2168.0,11.69,62448.0,0.41,750,2.96
3,054620,APS홀딩스,7500,-150,-1.96,,,10530.0,0.71,0,0.0
4,265520,AP시스템,26000,-100,-0.38,671.0,38.75,7468.0,3.48,50,0.19
5,211270,AP위성,8100,-250,-2.99,51.0,158.82,5479.0,1.48,70,0.86
6,027410,BGF,4905,-25,-0.51,281.0,17.46,15699.0,0.31,110,2.24
7,282330,BGF리테일,141000,4500,3.3,8763.0,16.09,36022.0,3.91,2700,1.91
8,138930,BNK금융지주,5780,0,0.0,1647.0,3.51,25415.0,0.23,360,6.23
9,001460,BYC,324500,10500,3.34,33265.0,9.75,517079.0,0.63,1100,0.34
10,001465,BYC우,157500,10000,6.78,,,,,1150,0.73
11,001040,CJ,102500,7600,8.01,8240.0,12.44,126448.0,0.81,1850,1.8
12,079160,CJ CGV,26150,300,1.16,,,11590.0,2.26,0,0.0
13,035760,CJ ENM,156200,8500,5.75,5310.0,29.42,134364.0,1.16,1400,0.9
14,00104K,CJ4우(전환),81400,5300,6.96,,,,,1900,2.33
15,000120,CJ대한통운,173000,-1500,-0.86,1349.0,128.24,131146.0,1.32,0,0.0
16,011150,CJ씨푸드,5010,-80,-1.57,51.0,98.24,1781.0,2.81,0,0.0
17,011155,CJ씨푸드1우,39800,-300,-0.75,,,,,0,0.0
18,001045,CJ우,61700,3100,5.29,,,,,1900,3.08
19,097950,CJ제일제당,432500,27500,6.79,9516.0,45.45,297949.0,1.45,3500,0.81
20,097955,CJ제일제당 우,184500,6500,3.65,,,,,3550,1.92
21,051500,CJ프레시웨이,20100,150,0.75,434.0,46.31,16967.0,1.18,250,1.24
22,058820,CMG제약,5880,-210,-3.45,25.0,235.2,1297.0,4.53,0,0.0
23,023460,CNH,2375,-30,-1.25,424.0,5.6,2811.0,0.84,30,1.26
24,065770,CS,2315,-75,-3.14,,,1155.0,2.0,0,0.0
25,083660,CSA 코스믹,2135,-15,-0.7,,,836.0,2.55,0,0.0
26,000590,CS홀딩스,60400,500,0.83,8435.0,7.16,195584.0,0.31,500,0.83
27,012030,DB,845,-15,-1.74,23.0,36.74,1049.0,0.81,0,0.0
28,367340,DB금융스팩8호,2020,0,0.0,,,,,0,0.0
29,016610,DB금융투자,5420,60,1.12,1172.0,4.62,16484.0,0.33,250,4.61
30,005830,DB손해보험,43800,150,0.34,5966.0,7.34,84026.0,0.52,1500,3.42
31,000990,DB하이텍,54900,900,1.67,2410.0,22.78,14483.0,3.79,350,0.64
32,000995,DB하이텍1우,121000,0,0.0,,,,,400,0.33
33,139130,DGB금융지주,7230,30,0.42,1900.0,3.81,27296.0,0.26,410,5.67
34,001530,DI동일,178000,-500,-0.28,6765.0,26.31,195965.0,0.91,1500,0.84
35,068790,DMS,8890,10,0.11,768.0,11.58,7205.0,1.23,75,0.84
36,004840,DRB동일,7260,250,3.57,461.0,15.75,17771.0,0.41,100,1.38
37,241520,DSC인베스트먼트,5820,30,0.52,348.0,16.72,2004.0,2.9,0,0.0
38,155660,DSR,6250,-140,-2.19,546.0,11.45,9613.0,0.65,50,0.8
39,069730,DSR제강,5150,-40,-0.77,469.0,10.98,9851.0,0.52,40,0.78
40,017940,E1,42800,-500,-1.15,,,166288.0,0.26,2200,5.14
41,245620,EDGC,10150,100,1.0,,,1090.0,9.31,0,0.0
42,037370,EG,10950,200,1.86,,,4426.0,2.47,0,0.0
43,079190,EMW,2780,0,0.0,120.0,23.17,971.0,2.86,0,0.0
44,007700,F&F,86600,300,0.35,7158.0,12.1,31366.0,2.76,1000,1.15
45,130500,GH신소재,7700,-380,-4.7,204.0,37.75,3899.0,1.97,0,0.0
46,114090,GKL,16250,50,0.31,1170.0,13.89,9460.0,1.72,659,4.06
47,078930,GS,41600,2100,5.32,5745.0,7.24,93746.0,0.44,1900,4.57
48,083450,GST,17150,-300,-1.72,2010.0,8.53,10657.0,1.61,200,1.17
49,006360,GS건설,41750,950,2.33,5590.0,7.47,49623.0,0.84,1000,2.4
50,001250,GS글로벌,2375,130,5.79,,,4351.0,0.55,0,0.0
51,007070,GS리테일,36250,700,1.97,1729.0,20.97,28232.0,1.28,750,2.07
52,078935,GS우,31050,550,1.8,,,,,1950,6.28
53,028150,GS홈쇼핑,140600,1000,0.72,18339.0,7.67,174659.0,0.8,6500,4.62
