,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
0,095570,AJ네트웍스,KOSPI,서비스업,5460,-90,-1.62,255649730700
1,006840,AK홀딩스,KOSPI,기타금융,27050,-500,-1.81,358346525050
2,027410,BGF,KOSPI,기타금융,5750,-20,-0.35,550371548250
3,282330,BGF리테일,KOSPI,유통업,162500,-6000,-3.56,2808634725000
4,138930,BNK금융지주,KOSPI,기타금융,8910,-220,-2.41,2904083041860
5,001460,BYC,KOSPI,섬유의복,441000,0,0.0,275455215000
6,001465,BYC우,KOSPI,섬유의복,178000,-1500,-0.84,38338530000
7,001040,CJ,KOSPI,기타금융,96800,-2100,-2.12,2824333406400
8,079160,CJ CGV,KOSPI,서비스업,32200,-700,-2.13,1212713856200
9,00104K,CJ4우(전환),KOSPI,기타금융,81900,-800,-0.97,346151332800
10,000120,CJ대한통운,KOSPI,운수창고업,145500,-2500,-1.69,3319196052000
11,011150,CJ씨푸드,KOSPI,음식료품,3925,-35,-0.88,141028284025
12,011155,CJ씨푸드1우,KOSPI,음식료품,38500,-700,-1.79,7700000000
13,001045,CJ우,KOSPI,기타금융,61300,-200,-0.33,138551669900
14,097950,CJ제일제당,KOSPI,음식료품,386500,-6500,-1.65,5818442889000
15,097955,CJ제일제당 우,KOSPI,음식료품,195500,-500,-0.26,259513151500
16,000590,CS홀딩스,KOSPI,기타금융,66000,400,0.61,76195812000
17,012030,DB,KOSPI,서비스업,1015,-20,-1.93,204191541995
18,016610,DB금융투자,KOSPI,증권,7130,-150,-2.06,302642753570
19,005830,DB손해보험,KOSPI,보험,60800,-4500,-6.89,4304640000000
20,000990,DB하이텍,KOSPI,전기전자,57500,500,0.88,2552918810000
21,000995,DB하이텍1우,KOSPI,전기전자,104500,-500,-0.48,11737022000
22,139130,DGB금융지주,KOSPI,기타금융,10550,-200,-1.86,1784488538150
23,001530,DI동일,KOSPI,유통업,291500,-2500,-0.85,731855932500
24,000210,DL,KOSPI,기타금융,66700,-1400,-2.06,1397757462800
25,001880,DL건설,KOSPI,건설업,29950,100,0.34,660495855800
26,000215,DL우,KOSPI,기타금융,40700,-800,-1.93,68624880500
27,375500,DL이앤씨,KOSPI,건설업,132500,-2500,-1.85,2565032785000
28,37550K,DL이앤씨우,KOSPI,건설업,77100,-200,-0.26,162980533500
29,004840,DRB동일,KOSPI,화학,5680,-180,-3.07,113202400000
30,155660,DSR,KOSPI,철강금속,7100,-200,-2.74,113600000000
31,069730,DSR제강,KOSPI,철강금속,6780,-350,-4.91,97632000000
32,017940,E1,KOSPI,유통업,53200,-1000,-1.85,364952000000
33,365550,ESR켄달스퀘어리츠,KOSPI,서비스업,6800,60,0.89,974161200000
34,383220,F&F,KOSPI,섬유의복,873000,12000,1.39,6688415295000
35,007700,F&F홀딩스,KOSPI,섬유의복,39350,-1450,-3.55,1539150341450
36,114090,GKL,KOSPI,서비스업,16550,-450,-2.65,1023711338500
37,078930,GS,KOSPI,기타금융,42700,-1100,-2.51,3967486640600
38,006360,GS건설,KOSPI,건설업,41250,-150,-0.36,3530236462500
39,001250,GS글로벌,KOSPI,유통업,2630,-70,-2.59,217063799320
40,007070,GS리테일,KOSPI,유통업,32350,-600,-1.82,3387624776700
41,078935,GS우,KOSPI,기타금융,36850,-400,-1.07,65770838100
42,012630,HDC,KOSPI,기타금융,10700,-150,-1.38,639236414700
43,039570,HDC아이콘트롤스,KOSPI,건설업,11750,-450,-3.69,193405000000
44,089470,HDC현대EP,KOSPI,화학,6030,-220,-3.52,192357000000
45,294870,HDC현대산업개발,KOSPI,건설업,25550,-950,-3.58,1683932281500
46,011200,HMM,KOSPI,운수창고업,26650,-250,-0.93,10803709778550
47,082740,HSD엔진,KOSPI,기계,9130,440,5.06,426564975980
48,003560,IHQ,KOSPI,서비스업,1825,5,0.27,266880240100
49,175330,JB금융지주,KOSPI,기타금융,8960,-10,-0.11,1764966730240
50,234080,JW생명과학,KOSPI,의약품,16450,50,0.3,260478413300
51,001060,JW중외제약,KOSPI,의약품,23850,-50,-0.21,513727235100
52,001067,JW중외제약2우B,KOSPI,의약품,56300,-200,-0.35,5237476400
53,001065,JW중외제약우,KOSPI,의약품,32900,-50,-0.15,5839289400
54,096760,JW홀딩스,KOSPI,기타금융,3885,0,0.0,265893992070
55,105560,KB금융,KOSPI,기타금융,57800,-800,-1.37,24033697776000
56,002380,KCC,KOSPI,화학,337000,-5500,-1.61,2994740727000
57,344820,KCC글라스,KOSPI,비금속광물,61200,600,0.99,977395334400
58,009070,KCTC,KOSPI,운수창고업,6490,-180,-2.7,194700000000
59,009440,KC그린홀딩스,KOSPI,기타금융,5190,-20,-0.38,116437546200
60,119650,KC코트렐,KOSPI,기계,7180,-60,-0.83,126368000000
61,092220,KEC,KOSPI,전기전자,3440,105,3.15,401471873600
62,016380,KG동부제철,KOSPI,철강금속,11450,-250,-2.14,1145101870650
63,016385,KG동부제철우,KOSPI,철강금속,99600,-1400,-1.39,5317146000
64,001390,KG케미칼,KOSPI,화학,32400,500,1.57,449261510400
65,033180,KH 필룩스,KOSPI,전기전자,3030,-15,-0.49,414292699920
66,001940,KISCO홀딩스,KOSPI,철강금속,18400,-300,-1.6,339965392000
67,025000,KPX케미칼,KOSPI,화학,58300,-300,-0.51,282172000000
68,092230,KPX홀딩스,KOSPI,화학,66400,200,0.3,280516494400
69,000040,KR모터스,KOSPI,운수장비,1035,25,2.48,99502175880
70,044450,KSS해운,KOSPI,운수창고업,12000,800,7.14,278230560000
71,030200,KT,KOSPI,통신업,30700,-600,-1.92,8016132505600
72,033780,KT&G,KOSPI,기타제조업,81500,-500,-0.61,11189338505500
73,030210,KTB투자증권,KOSPI,증권,6500,-70,-1.07,392041598000
74,058850,KTcs,KOSPI,서비스업,2690,-20,-0.74,114822650000
75,058860,KTis,KOSPI,서비스업,2555,-35,-1.35,88919110000
76,093050,LF,KOSPI,섬유의복,18600,-500,-2.62,543864000000
77,003550,LG,KOSPI,기타금융,91500,-3200,-3.38,14393040859500
78,034220,LG디스플레이,KOSPI,전기전자,19750,1250,6.76,7066860075000
79,051900,LG생활건강,KOSPI,화학,1182000,-39000,-3.19,18460708854000
80,051905,LG생활건강우,KOSPI,화학,598000,-32000,-5.08,1255618806000
81,003555,LG우,KOSPI,기타금융,67500,-500,-0.74,203959350000
82,032640,LG유플러스,KOSPI,통신업,14500,-200,-1.36,6330864734500
83,011070,LG이노텍,KOSPI,전기전자,209500,3500,1.7,4958258916500
84,066570,LG전자,KOSPI,전기전자,122000,0,0.0,19965033308000
85,066575,LG전자우,KOSPI,전기전자,64400,200,0.31,1106777884800
86,037560,LG헬로비전,KOSPI,서비스업,7050,-90,-1.26,546000398250
87,051910,LG화학,KOSPI,화학,850000,25000,3.03,60003491550000
88,051915,LG화학우,KOSPI,화학,392500,2000,0.51,3017854000000
89,079550,LIG넥스원,KOSPI,기계,47450,900,1.93,1043900000000
90,006260,LS,KOSPI,기타금융,62800,-2700,-4.12,2022160000000
91,010120,LS ELECTRIC,KOSPI,전기전자,61300,-1900,-3.01,1839000000000
92,000680,LS네트웍스,KOSPI,유통업,3305,-50,-1.49,260443967880
93,229640,LS전선아시아,KOSPI,기타금융,8500,90,1.07,260311471500
94,001120,LX인터내셔널,KOSPI,유통업,27200,-1200,-4.23,1054272000000
95,108670,LX하우시스,KOSPI,화학,70100,-1900,-2.64,628633667000
96,108675,LX하우시스우,KOSPI,화학,33700,-700,-2.03,34789521000
97,383800,LX홀딩스,KOSPI,기타금융,8940,-150,-1.65,681949368600
98,38380K,LX홀딩스1우,KOSPI,기타금융,13900,-100,-0.71,20367461500
99,023150,MH에탄올,KOSPI,음식료품,11750,-450,-3.69,86697680500
100,035420,NAVER,KOSPI,서비스업,413000,-1500,-0.36,67840782135000
101,181710,NHN,KOSPI,서비스업,73300,-500,-0.68,1434116332500
102,005940,NH투자증권,KOSPI,증권,13100,-150,-1.13,3891143919700
103,005945,NH투자증권우,KOSPI,증권,12600,-100,-0.79,237774196800
104,338100,NH프라임리츠,KOSPI,서비스업,4955,5,0.1,92460300000
105,034310,NICE,KOSPI,서비스업,17050,-300,-1.73,645893215000
106,008260,NI스틸,KOSPI,철강금속,3940,-100,-2.48,112684460980
107,004250,NPC,KOSPI,화학,6360,-160,-2.45,233539200000
108,004255,NPC우,KOSPI,화학,3190,-5,-0.16,16843200000
109,010060,OCI,KOSPI,화학,130500,-4000,-2.97,3112342915500
110,178920,PI첨단소재,KOSPI,화학,47500,200,0.42,1394900295000
111,005490,POSCO,KOSPI,철강금속,301000,-7000,-2.27,26243237335000
112,010950,S-Oil,KOSPI,화학,101500,-5000,-4.69,11427153388000
113,010955,S-Oil우,KOSPI,화학,62700,-1300,-2.03,252174822900
114,034120,SBS,KOSPI,서비스업,54300,-1200,-2.16,991115202600
115,101060,SBS미디어홀딩스,KOSPI,서비스업,2120,-5,-0.24,296579922800
116,005090,SGC에너지,KOSPI,전기가스업,47800,100,0.21,701560791200
117,001380,SG글로벌,KOSPI,운수장비,2235,-45,-1.97,100494859605
118,004060,SG세계물산,KOSPI,유통업,703,-8,-1.13,142304746880
119,001770,SHD,KOSPI,철강금속,29550,-350,-1.17,35899644900
120,002360,SH에너지화학,KOSPI,화학,1110,15,1.37,123358440300
121,009160,SIMPAC,KOSPI,기계,7820,-200,-2.49,511658815120
122,123700,SJM,KOSPI,운수장비,4895,-50,-1.01,76385975710
123,025530,SJM홀딩스,KOSPI,유통업,3795,-60,-1.56,56674560360
124,034730,SK,KOSPI,기타금융,247000,-5500,-2.18,17378993359000
125,011790,SKC,KOSPI,화학,171500,-3500,-2.0,6494413107000
126,018670,SK가스,KOSPI,유통업,138000,-1000,-0.72,1273773672000
127,001740,SK네트웍스,KOSPI,유통업,5160,-50,-0.96,1280648258520
128,001745,SK네트웍스우,KOSPI,유통업,90300,100,0.11,10262414400
129,006120,SK디스커버리,KOSPI,기타금융,47800,-1000,-2.05,910009469000
130,006125,SK디스커버리우,KOSPI,기타금융,39550,-200,-0.5,53726895250
131,210980,SK디앤디,KOSPI,서비스업,31400,50,0.16,696771149600
132,068400,SK렌터카,KOSPI,서비스업,12050,-150,-1.23,569794372000
133,395400,SK리츠,KOSPI,서비스업,6400,-70,-1.08,992131404800
134,302440,SK바이오사이언스,KOSPI,의약품,245500,16500,7.21,18780750000000
135,326030,SK바이오팜,KOSPI,서비스업,97000,-2100,-2.12,7596385250000
136,361610,SK아이이테크놀로지,KOSPI,전기전자,176000,-2000,-1.12,12548376192000
137,03473K,SK우,KOSPI,기타금융,226000,-2000,-0.88,127946510000
138,096770,SK이노베이션,KOSPI,화학,243500,-7500,-2.99,22515364834000
139,096775,SK이노베이션우,KOSPI,화학,149000,-2000,-1.32,186015474000
140,001510,SK증권,KOSPI,증권,974,-31,-3.08,460302826554
141,001515,SK증권우,KOSPI,증권,4220,-90,-2.09,16510809080
142,285130,SK케미칼,KOSPI,화학,186000,-1000,-0.53,2185759656000
143,28513K,SK케미칼우,KOSPI,화학,113500,500,0.44,165559045000
144,017670,SK텔레콤,KOSPI,통신업,309500,0,0.0,22302614258500
145,000660,SK하이닉스,KOSPI,전기전자,106500,5000,4.93,77532251872500
146,064960,SNT모티브,KOSPI,운수장비,51800,-1000,-1.89,757478444800
147,100840,SNT에너지,KOSPI,기계,22650,-650,-2.79,170027004150
148,003570,SNT중공업,KOSPI,운수장비,9310,-90,-0.96,309582609070
149,036530,SNT홀딩스,KOSPI,기타금융,17900,-200,-1.1,291839559400
150,005610,SPC삼립,KOSPI,음식료품,77100,-1000,-1.28,665296593900
151,011810,STX,KOSPI,유통업,4420,80,1.84,126506826680
152,077970,STX엔진,KOSPI,기계,12200,100,0.83,280708628800
153,071970,STX중공업,KOSPI,기계,5780,250,4.52,163955341280
154,002820,SUN&L,KOSPI,종이목재,5690,10,0.18,71739457410
155,084870,TBH글로벌,KOSPI,섬유의복,2830,-20,-0.7,59024797770
156,002710,TCC스틸,KOSPI,철강금속,8370,-170,-1.99,196695000000
157,002900,TYM,KOSPI,기계,2005,-65,-3.14,300438404955
158,024070,WISCOM,KOSPI,화학,3950,-20,-0.5,60539430100
159,037270,YG PLUS,KOSPI,서비스업,7590,-470,-5.83,481429221900
160,000500,가온전선,KOSPI,전기전자,28450,0,0.0,118361872150
161,000860,강남제비스코,KOSPI,화학,25200,0,0.0,163800000000
