종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","5550","-50","-0.89","259863737250"
"006840","AK홀딩스","KOSPI","기타금융","27550","-50","-0.18","364970305550"
"027410","BGF","KOSPI","기타금융","5770","-30","-0.52","552285884070"
"282330","BGF리테일","KOSPI","유통업","168500","500","0.30","2912338161000"
"138930","BNK금융지주","KOSPI","기타금융","9130","60","0.66","2975788795980"
"001460","BYC","KOSPI","섬유의복","441000","0","0.00","275455215000"
"001465","BYC우","KOSPI","섬유의복","179500","1000","0.56","38661607500"
"001040","CJ","KOSPI","기타금융","98900","-1100","-1.10","2885605102200"
"079160","CJ CGV","KOSPI","서비스업","32900","400","1.23","1239077200900"
"00104K","CJ4우(전환)","KOSPI","기타금융","82700","-600","-0.72","349532542400"
"000120","CJ대한통운","KOSPI","운수창고업","148000","-1000","-0.67","3376226912000"
"011150","CJ씨푸드","KOSPI","음식료품","3960","-10","-0.25","142285861080"
"011155","CJ씨푸드1우","KOSPI","음식료품","39200","-50","-0.13","7840000000"
"001045","CJ우","KOSPI","기타금융","61500","-200","-0.32","139003714500"
"097950","CJ제일제당","KOSPI","음식료품","393000","-1500","-0.38","5916295098000"
"097955","CJ제일제당 우","KOSPI","음식료품","196000","0","0.00","260176868000"
"000590","CS홀딩스","KOSPI","기타금융","65600","700","1.08","75734019200"
"012030","DB","KOSPI","서비스업","1035","0","0.00","208215020655"
"016610","DB금융투자","KOSPI","증권","7280","40","0.55","309009711920"
"005830","DB손해보험","KOSPI","보험","65300","-700","-1.06","4623240000000"
"000990","DB하이텍","KOSPI","전기전자","57000","-400","-0.70","2530719516000"
"000995","DB하이텍1우","KOSPI","전기전자","105000","0","0.00","11793180000"
"139130","DGB금융지주","KOSPI","기타금융","10750","-100","-0.92","1818317704750"
"001530","DI동일","KOSPI","유통업","294000","-6000","-2.00","738132570000"
"000210","DL","KOSPI","기타금융","68100","-600","-0.87","1427095700400"
"001880","DL건설","KOSPI","건설업","29850","0","0.00","658290527400"
"000215","DL우","KOSPI","기타금융","41500","-350","-0.84","69973772500"
"375500","DL이앤씨","KOSPI","건설업","135000","-1500","-1.10","2613429630000"
"37550K","DL이앤씨우","KOSPI","건설업","77300","200","0.26","163403310500"
"004840","DRB동일","KOSPI","화학","5860","60","1.03","116789800000"
"155660","DSR","KOSPI","철강금속","7300","-100","-1.35","116800000000"
"069730","DSR제강","KOSPI","철강금속","7130","-140","-1.93","102672000000"
"017940","E1","KOSPI","유통업","54200","-600","-1.09","371812000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","6740","80","1.20","965565660000"
"383220","F&F","KOSPI","섬유의복","861000","3000","0.35","6596478315000"
"007700","F&F홀딩스","KOSPI","섬유의복","40800","-2100","-4.90","1595866173600"
"114090","GKL","KOSPI","서비스업","17000","-150","-0.87","1051546390000"
"078930","GS","KOSPI","기타금융","43800","-250","-0.57","4069693556400"
"006360","GS건설","KOSPI","건설업","41400","-950","-2.24","3543073686000"
"001250","GS글로벌","KOSPI","유통업","2700","-10","-0.37","222841162800"
"007070","GS리테일","KOSPI","유통업","32950","-100","-0.30","3450455529900"
"078935","GS우","KOSPI","기타금융","37250","-50","-0.13","66484768500"
"012630","HDC","KOSPI","기타금융","10850","-100","-0.91","648197672850"
"039570","HDC아이콘트롤스","KOSPI","건설업","12200","200","1.67","200812000000"
"089470","HDC현대EP","KOSPI","화학","6250","40","0.64","199375000000"
"294870","HDC현대산업개발","KOSPI","건설업","26500","-450","-1.67","1746544245000"
"011200","HMM","KOSPI","운수창고업","26900","-2500","-8.50","10905057900300"
"082740","HSD엔진","KOSPI","기계","8690","710","8.90","406007627740"
"003560","IHQ","KOSPI","서비스업","1820","70","4.00","266149061360"
"175330","JB금융지주","KOSPI","기타금융","8970","40","0.45","1766936559180"
"234080","JW생명과학","KOSPI","의약품","16400","100","0.61","259686685600"
"001060","JW중외제약","KOSPI","의약품","23900","-250","-1.04","514804231400"
"001067","JW중외제약2우B","KOSPI","의약품","56500","0","0.00","5256082000"
"001065","JW중외제약우","KOSPI","의약품","32950","-450","-1.35","5848163700"
"096760","JW홀딩스","KOSPI","기타금융","3885","80","2.10","265893992070"
"105560","KB금융","KOSPI","기타금융","58600","-500","-0.85","24366344112000"
"002380","KCC","KOSPI","화학","342500","-9500","-2.70","3043616317500"
"344820","KCC글라스","KOSPI","비금속광물","60600","-2400","-3.81","967813027200"
"009070","KCTC","KOSPI","운수창고업","6670","-30","-0.45","200100000000"
"009440","KC그린홀딩스","KOSPI","기타금융","5210","-120","-2.25","116886245800"
"119650","KC코트렐","KOSPI","기계","7240","-180","-2.43","127424000000"
"092220","KEC","KOSPI","전기전자","3335","-15","-0.45","389217644900"
"016380","KG동부제철","KOSPI","철강금속","11700","0","0.00","1170104094900"
"016385","KG동부제철우","KOSPI","철강금속","101000","-1000","-0.98","5391885000"
"001390","KG케미칼","KOSPI","화학","31900","-550","-1.69","442328462400"
"033180","KH 필룩스","KOSPI","전기전자","3045","-40","-1.30","416343653880"
